35|786
61|812
63|814
29|780
58|809
47|798
62|813
42|793
45|796
57|808
36|787
41|792
39|790
40|791
51|802
23|774
24|775
784|33
28|779
778|27
782|31
30|781
776|25
777|26
783|32
785|34
55|806
789|38
37|788
49|800
804|53
50|801
54|805
46|797
48|799
52|803
59|810
795|44
43|794
65|816
815|64
66|817


35|786
61|812
63|814
29|780
58|809
47|798
62|813
42|793
45|796
57|808
36|787
41|792
39|790
40|791
51|802
23|774
24|775
784|33
28|779
778|27
782|31
30|781
776|25
777|26
783|32
785|34
55|806
789|38
37|788
49|800
804|53
50|801
54|805
46|797
48|799
52|803
59|810
795|44
43|794
65|816
815|64
66|817
23|774
24|775
778|27
782|31
776|25
33|784
777|26
783|32
785|34
35|786
41|792
790|39
51|802
46|797
53|804
803|52
59|810
38|789
788|37
45|796
50|801
795|44
43|794
55|806
62|813
63|814
61|812
49|800
54|805
28|779
65|816
817|66
48|799
815|64
808|57
47|798
809|58
29|780
36|787
793|42
791|40
781|30
